AgencyBidNos,AgencyTypes,BidAlertNo,CloseDates,IssuingAgencies,ReceivedDates,States
RFQ-WC195624,State and Local,216534,06/04/2019 02:00 PM,Westchester County - Purchasing,5/31/2019,New York
Q19001987,State and Local,1736320,06/04/2019 02:00 PM,State of Hawaii - Office of Enterprise Technology Services (ETS),5/31/2019,Hawaii
RFQ 2019-9707,State and Local,216513,06/05/2019 02:00 PM,City of Yonkers/Yonkers Public Schools,5/31/2019,New York
19-532EPA-FISCP-B-8302,State and Local,1736234,06/05/2019 08:00 AM,State of Illinois - Illinois Environmental Protection Agency (Illinois EPA),5/31/2019,Illinois
12001200,State and Local,1736748,06/06/2019 03:00 PM,City of Santa Monica,5/31/2019,California
250000310,State and Local,1736944,06/06/2019 03:00 PM,State of Oklahoma - Military Department,5/31/2019,Oklahoma
RFQ012578,State and Local,1737202,06/06/2019 10:00 AM,City of Columbus,5/31/2019,Ohio
B50005815,State and Local,1736514,06/06/2019 10:00 AM,City of Baltimore,5/31/2019,Maryland
6100048319,State and Local,1737352,06/07/2019 02:00 PM,Commonwealth of Pennsylvania - Department of Military and Veterans Affairs,5/31/2019,Pennsylvania
7593-0-2019,State and Local,1736895,06/10/2019 02:00 PM,City of Norfolk,5/31/2019,Virginia
7593-0-2019/MB,State and Local,1736348,06/10/2019 02:00 PM,City of Norfolk,5/31/2019,Virginia
519-035,State and Local,1736722,06/11/2019 03:00 PM,Montgomery College,5/31/2019,Maryland
19201379,State and Local,1737153,06/11/2019 12:00 PM,County of Los Angeles,5/31/2019,California
DCH1900000011,State and Local,1736672,06/12/2019 01:30 PM,State of West Virginia Division of Culture and History,5/31/2019,West Virginia
19TB3091,State and Local,1736684,06/12/2019 03:00 PM,City of Detroit,5/31/2019,Michigan
ITB - 134487 Ammunition,State and Local,216506,06/12/2019 03:00 PM,City of Dearborn,5/31/2019,Michigan
IT966635,State and Local,1737206,06/12/2019 03:00 PM,State of Texas - Department of Criminal Justice,5/31/2019,Texas
RQ102538,State and Local,1736216,06/12/2019 04:50 AM,County of Placer,5/31/2019,California
RFB-IS-19201389,State and Local,1737145,06/12/2019 12:00 PM,County of Los Angeles,5/31/2019,California
219-289,State and Local,216490,06/13/2019 02:00 PM,City of San Marcos,5/31/2019,Texas
23-3500-ITB-1305,State and Local,1737255,06/14/2019 02:00 PM,Texas A&M University,5/31/2019,Texas
Not Stated,State and Local,1737196,06/14/2019 04:30 PM,City of Guyton,5/31/2019,Georgia
19-05-2078VJ,State and Local,1736245,06/14/2019 05:00 PM,Navajo Nation,5/31/2019,Arizona
Q19002010,State and Local,1736309,06/17/2019 06:00 AM,State of Hawaii - Department of Health,5/31/2019,Hawaii
Not Stated,State and Local,1736826,06/17/2019 10:00 AM,Harrison County School District,5/31/2019,Mississippi
20-19,State and Local,1736671,06/18/2019 02:00 PM,Middlesex County College,5/31/2019,New Jersey
19-15,State and Local,1736976,06/18/2019 02:00 PM,County of Ottawa/IPT,5/31/2019,Michigan
NS19108CP,State and Local,1737084,06/18/2019 05:00 PM,City of South Weber,5/31/2019,Utah
19-112-11,State and Local,1736451,06/18/2019 11:00 AM,Metropolitan Water Reclamation District of Greater Chicago (MWRD),5/31/2019,Illinois
19-109-12,State and Local,1736455,06/18/2019 11:00 AM,Metropolitan Water Reclamation District of Greater Chicago (MWRD),5/31/2019,Illinois
C2020-13-Q,State and Local,1737260,06/18/2019 11:00 AM,Anne Arundel Community College,5/31/2019,Maryland
